"Freq [MHz]","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
943.777777777778,-0.549806324118127,-0.513965536021088,-0.582375239376516,-0.745674957113061,-0.627796482602791,-0.647343684946666,-3.42793539418315,-3.73234221382767,-3.49232128715289,-3.97214469931691,-4.20210679805613,-4.3452156715436
944,-0.546526446429331,-0.510368217202125,-0.578852644844248,-0.745332368092707,-0.620878971892922,-0.639572412522613,-3.45880729921984,-3.76577521574923,-3.54180935974122,-4.11927845253362,-4.29630361183409,-4.42802838298076
944.222222222222,-0.542989272288186,-0.50694041439733,-0.575530378899395,-0.744631364459311,-0.613596823256917,-0.631343596943822,-3.50759648061231,-3.82557326309746,-3.61071288949544,-4.31283098315194,-4.4354084783371,-4.55653474572069
944.444444444444,-0.539227796397492,-0.503664388849879,-0.572376464391579,-0.743062120613783,-0.605871822119737,-0.622611469450009,-3.58262076504109,-3.91974478599841,-3.70796783985172,-4.55802991310811,-4.62324260316879,-4.73404267420905
944.666666666667,-0.535303251243077,-0.500527371108902,-0.569365972046953,-0.740268967765546,-0.59767086587453,-0.613407823638117,-3.69340885817132,-4.05614871957299,-3.84377668793499,-4.86176760952367,-4.86515075459943,-4.9653771491183
944.888888888889,-0.531301298326293,-0.497521490898087,-0.566480826697029,-0.736157400799841,-0.589062678206109,-0.603885153690701,-3.84944393329917,-4.2423134496658,-4.0283856545931,-5.23293086459541,-5.16828389549083,-5.25711092884931
945.111111111111,-0.527333135239521,-0.494644511693728,-0.563710056813764,-0.730826727581637,-0.580225117237493,-0.594281974495898,-4.06009849382733,-4.48602452367207,-4.27203783471777,-5.68277354923707,-5.54181171911661,-5.61767094616308
945.333333333333,-0.523535031237338,-0.49190194898413,-0.561051556190284,-0.724470898731975,-0.571381652040691,-0.584825383579337,-4.33538684855249,-4.7962316022951,-4.58575765158642,-6.2252749973774,-5.99698917957183,-6.05723993771048
945.555555555556,-0.520059118904102,-0.489310364423199,-0.558516562325317,-0.717325116644181,-0.562706161056688,-0.575643900728231,-4.68706714306228,-5.18402668211638,-4.98251252340057,-6.87742695598057,-6.54704027905758,-6.58744329905348
945.777777777778,-0.517050483910858,-0.486896587698571,-0.556133351612685,-0.709647313481881,-0.554265216089033,-0.566746052038701,-5.1298685020954,-5.66366066522411,-5.47853583695632,-7.65966694756072,-7.20703907713472,-7.22108739231371
